ap,ep,sinip,astar,iz
3.2244,0.127,0.1921,-0.142,0.06
3.0259,0.104,0.0593,0.054,0.14
2.4109,0.1077,0.1131,0.063,-0.26
3.1319,0.1951,0.1822,-0.071,0.13
3.1335,0.1097,0.2414,-0.124,0.03
2.6724,0.0298,0.1276,-0.098,0.04
2.3942,0.1019,0.1149,0.152,-0.24
2.3593,0.059,0.1605,-0.004,0.1
3.161,0.144,0.1814,-0.076,0.09
2.3858,0.0959,0.162,0.001,0.07
2.7135,0.2393,0.1938,0.103,-0.13
2.6482,0.2635,0.2142,-0.129,0.09
3.1183,0.1762,0.1937,-0.053,0.04
3.1795,0.0676,0.1548,-0.053,0.09
2.5664,0.164,0.1187,0.152,-0.02
2.3576,0.1763,0.0172,0.099,-0.03
3.162,0.26,0.0255,-0.116,0.09
3.0753,0.1135,0.0307,-0.053,0.05
2.2346,0.1571,0.0991,0.161,0
2.5632,0.0759,0.1654,0.17,-0.15
3.372,0.0321,0.2137,0.014,0.12
3.0071,0.1657,0.1494,-0.022,-0.03
3.2064,0.1467,0.2401,-0.089,0.06
2.7736,0.1303,0.1601,0.125,-0.02
3.1797,0.2319,0.1949,-0.107,0.08
2.5284,0.1688,0.2378,0.09,0.05
3.033,0.1149,0.181,0.089,0.04
3.4045,0.181,0.2819,-0.16,-0.04
2.6868,0.1711,0.2021,-0.151,0.1
3.1286,0.0459,0.267,-0.084,0.08
2.7777,0.1947,0.1374,-0.133,0.06
2.9992,0.0788,0.1744,0.076,0.09
2.7232,0.0343,0.0875,-0.057,0.09
2.9441,0.1549,0.0424,0.009,0.12
2.8511,0.091,0.2269,-0.013,0.05
2.8394,0.0572,0.0377,0.09,0.03
2.7465,0.2154,0.0554,-0.04,0.05
2.9824,0.0619,0.1678,0.055,-0.1
2.7446,0.081,0.064,0.183,0.08
3.0827,0.1534,0.1771,0.054,0.02
2.568,0.1441,0.253,0.036,-0.07
2.9678,0.0378,0.1284,0.094,0.17
2.783,0.1767,0.1636,0.018,0.1
3.081,0.0695,0.1468,0.108,-0.03
3.0185,0.0649,0.1707,0.094,0.07
